conversation_id,turn_id,turn_index,speaker_role,text,parent_turn_id,is_first_turn,is_last_turn,prev_turn_text,next_turn_text,context_window,language_code,char_count,token_count,sentence_count,avg_word_length,uppercase_ratio,punctuation_ratio,repetition_ratio,spelling_error_estimate,contains_question,contains_url,preprocessing_notes,timestamp_order_valid,raw_metadata,lexical_diversity,adjacent_repetition_ratio,punctuation_irregularity,rare_token_shape_ratio,long_token_ratio,redundancy_pressure,contains_request,contains_instruction,contains_refusal,contains_apology,contains_thanks,contains_commitment,direct_answer_score,topic_shift_score,request_marker_count,instruction_marker_count,hedging_phrase_count,grounding_marker_count,contains_profanity,contains_sensitive_topic,contains_harm_indicator,policy_risk_bucket,profanity_count,sensitive_topic_count,harm_intent_score,privacy_risk_score,sentiment_polarity,emotion_primary,emotion_intensity,empathy_marker_count,deescalation_marker_count,warmth_score
conv_001,t1,0,user,"Hi, can you help me write a polite follow-up email after an interview?",,True,False,,"Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.","CURRENT | user: Hi, can you help me write a polite follow-up email after an interview?
NEIGHBOR_+1 | assistant: Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.",en,70,14,1,3.9286,0.0143,0.0429,0.0,0.0,True,False,,True,{'source_row_number': 0},1.0,0.0,0.0429,0.0,0.0,0.0,True,True,False,False,False,False,0.5,0.0,2,1,0,0,False,False,False,low,0,0,0.0,0.0,0.0,neutral,0.0143,0,0,0.5
conv_001,t2,1,assistant,"Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.",,False,False,"Hi, can you help me write a polite follow-up email after an interview?","Yes please, make it warm but not too casual.","NEIGHBOR_-1 | user: Hi, can you help me write a polite follow-up email after an interview?
CURRENT | assistant: Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.
NEIGHBOR_+1 | user: Yes please, make it warm but not too casual.",en,129,20,2,5.3,0.0155,0.0388,0.05,0.0,False,False,emotion_lexicon_detected,True,{'source_row_number': 1},0.95,0.0,0.0388,0.0,0.15,0.05,False,True,False,False,True,True,0.6,0.8621,0,1,0,1,False,False,False,low,0,0,0.0,0.0,0.0526,joy,0.0155,0,0,0.5526
conv_001,t3,2,user,"Yes please, make it warm but not too casual.",,False,False,"Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.",Here is a version you can send: Thank you again for taking the time to speak with me today. I appreciated learning more about the role and remain very interested in the opportunity.,"NEIGHBOR_-1 | assistant: Absolutely. I can draft a concise follow-up that thanks the interviewer, restates your interest, and keeps the tone professional.
CURRENT | user: Yes please, make it warm but not too casual.
NEIGHBOR_+1 | assistant: Here is a version you can send: Thank you again for taking the time to speak with me today. I appreciated learning more about the role and remain very interested in the opportunity.",en,44,9,1,3.7778,0.0227,0.0455,0.0,0.0,False,False,,True,{'source_row_number': 2},1.0,0.0,0.0455,0.0,0.0,0.0,True,False,False,False,False,False,0.5,1.0,1,0,0,0,False,False,False,low,0,0,0.0,0.0,0.0,neutral,0.0227,0,0,0.5
conv_001,t4,3,assistant,Here is a version you can send: Thank you again for taking the time to speak with me today. I appreciated learning more about the role and remain very interested in the opportunity.,,False,True,"Yes please, make it warm but not too casual.",,"NEIGHBOR_-1 | user: Yes please, make it warm but not too casual.
CURRENT | assistant: Here is a version you can send: Thank you again for taking the time to speak with me today. I appreciated learning more about the role and remain very interested in the opportunity.",en,181,33,2,4.4242,0.0166,0.0166,0.0909,0.0,False,False,emotion_lexicon_detected,True,{'source_row_number': 3},0.9091,0.0,0.0166,0.0,0.0909,0.0909,False,False,False,False,True,False,0.5,1.0,0,0,0,1,False,False,False,low,0,0,0.0,0.0,0.0303,joy,0.0166,0,0,0.5303
conv_002,t1,0,user,I'm really frustrated. My order never arrived and support keeps looping me around.,,True,False,,I'm sorry you're dealing with that. I understand why that would be frustrating. Let's work through the order number and the most recent update so I can help you draft a clear escalation message.,"CURRENT | user: I'm really frustrated. My order never arrived and support keeps looping me around.
NEIGHBOR_+1 | assistant: I'm sorry you're dealing with that. I understand why that would be frustrating. Let's work through the order number and the most recent update so I can help you draft a clear escalation message.",en,82,13,2,5.4167,0.0244,0.0366,0.0,0.0,False,False,emotion_lexicon_detected,True,{'source_row_number': 4},1.0,0.0,0.0366,0.0,0.0833,0.0,False,False,False,False,False,False,0.5,0.0,0,0,0,0,False,False,False,low,0,0,0.0,0.0,-0.0769,neutral,0.2244,0,0,0.4231
conv_002,t2,1,assistant,I'm sorry you're dealing with that. I understand why that would be frustrating. Let's work through the order number and the most recent update so I can help you draft a clear escalation message.,,False,True,I'm really frustrated. My order never arrived and support keeps looping me around.,,"NEIGHBOR_-1 | user: I'm really frustrated. My order never arrived and support keeps looping me around.
CURRENT | assistant: I'm sorry you're dealing with that. I understand why that would be frustrating. Let's work through the order number and the most recent update so I can help you draft a clear escalation message.",en,194,34,3,4.6452,0.0206,0.0309,0.0882,0.0,False,False,emotion_lexicon_detected,True,{'source_row_number': 5},0.9118,0.0,0.0309,0.0,0.0968,0.0882,False,False,False,True,False,True,0.5,0.9268,0,0,0,1,False,False,False,low,0,0,0.0,0.0,0.0,neutral,0.0206,3,2,0.95
